indice,num_patrones_cargar,rango_fecha,numero_puntos,tamano_ventana,divisiones,numero_ventanas_exploradas,total_aceptados_findCommon,numero_encontrados_total,porcentaje_aceptacion_findCommon,porcentaje_aceptacion_tendency,tiempo
28,15,af 7 meses y 11 días,152,10,[1],840,840,4,100.0,0.5,94.87
29,15,af 7 meses y 11 días,152,10,"[1, 2]",962,962,4,100.0,0.4,111.2
244,15,am 8 años y 2 días,2012,140,"[1, 2, 3, 4, 5]",1437,1145,133,79.7,11.6,313.77
251,15,am 8 años y 2 días,2012,180,"[1, 2, 3, 4, 5, 6]",1271,906,127,71.3,14.0,307.95
243,15,am 8 años y 2 días,2012,140,"[1, 2, 3, 4]",1391,1106,124,79.5,11.2,288.81
245,15,am 8 años y 2 días,2012,140,"[1, 2, 3, 4, 5, 6]",1463,1187,121,81.1,10.2,345.75
247,15,am 8 años y 2 días,2012,160,"[1, 2, 3, 4, 5]",1342,1011,120,75.3,11.9,300.05
248,15,am 8 años y 2 días,2012,160,"[1, 2, 3, 4, 5, 6]",1372,1039,119,75.7,11.5,341.51
246,15,am 8 años y 2 días,2012,160,"[1, 2, 3, 4]",1308,985,117,75.3,11.9,272.95
253,15,am 8 años y 2 días,2012,200,"[1, 2, 3, 4, 5]",1217,766,109,62.9,14.2,278.88
254,15,am 8 años y 2 días,2012,200,"[1, 2, 3, 4, 5, 6]",1223,788,107,64.4,13.6,298.53
249,15,am 8 años y 2 días,2012,180,"[1, 2, 3, 4]",1222,838,103,68.6,12.3,256.33
250,15,am 8 años y 2 días,2012,180,"[1, 2, 3, 4, 5]",1258,875,100,69.6,11.4,280.88
257,15,am 8 años y 2 días,2012,220,"[1, 2, 3, 4, 5, 6]",1232,725,100,58.8,13.8,288.67
260,15,am 8 años y 2 días,2012,240,"[1, 2, 3, 4, 5, 6]",1146,639,98,55.8,15.3,272.58
252,15,am 8 años y 2 días,2012,200,"[1, 2, 3, 4]",1186,730,93,61.6,12.7,249.34
256,15,am 8 años y 2 días,2012,220,"[1, 2, 3, 4, 5]",1164,703,90,60.4,12.8,255.13
259,15,am 8 años y 2 días,2012,240,"[1, 2, 3, 4, 5]",1123,634,89,56.5,14.0,260.57
263,15,am 8 años y 2 días,2012,260,"[1, 2, 3, 4, 5, 6]",1129,592,85,52.4,14.4,269.84
258,15,am 8 años y 2 días,2012,240,"[1, 2, 3, 4]",1115,608,81,54.5,13.3,243.66
266,15,am 8 años y 2 días,2012,280,"[1, 2, 3, 4, 5, 6]",1137,539,81,47.4,15.0,273.13
255,15,am 8 años y 2 días,2012,220,"[1, 2, 3, 4]",1123,661,80,58.9,12.1,229.97
262,15,am 8 años y 2 días,2012,260,"[1, 2, 3, 4, 5]",1104,572,77,51.8,13.5,251.59
265,15,am 8 años y 2 días,2012,280,"[1, 2, 3, 4, 5]",1085,505,73,46.5,14.5,245.26
261,15,am 8 años y 2 días,2012,260,"[1, 2, 3, 4]",1091,553,65,50.7,11.8,233.75
