indice,num_patrones_cargar,rango_fecha,numero_puntos,tamano_ventana,divisiones,numero_ventanas_exploradas,total_aceptados_findCommon,numero_encontrados_total,porcentaje_aceptacion_findCommon,porcentaje_aceptacion_tendency,tiempo
110,25,1 años y 5 meses (515),354,300,"[1, 2, 3]",93,50,8,53.8,16.0,21.24
111,25,1 años y 5 meses (515),354,300,"[1, 2, 3, 4]",93,50,9,53.8,18.0,26.4
112,25,1 años y 5 meses (515),354,340,"[1, 2, 3]",60,37,3,61.7,8.1,14.44
113,25,1 años y 5 meses (515),354,340,"[1, 2, 3, 4]",60,37,4,61.7,10.8,15.26
114,25,2 años (730),501,20,"[1, 2]",1695,1695,29,100.0,1.7,262.45
115,25,2 años (730),501,40,"[1, 2]",845,843,35,99.8,4.2,141.52
116,25,2 años (730),501,40,"[1, 2, 3]",947,945,26,99.8,2.8,174.1
117,25,2 años (730),501,80,"[1, 2]",420,417,33,99.3,7.9,76.56
118,25,2 años (730),501,80,"[1, 2, 3]",466,459,39,98.5,8.5,94.05
119,25,2 años (730),501,90,"[1, 2]",403,394,26,97.8,6.6,69.37
120,25,2 años (730),501,90,"[1, 2, 3]",416,402,34,96.6,8.5,82.01
121,25,2 años (730),501,100,"[1, 2, 3]",371,361,30,97.3,8.3,75.65
122,25,2 años (730),501,100,"[1, 2, 3, 4]",381,368,27,96.6,7.3,84.95
123,25,2 años (730),501,120,"[1, 2, 3]",329,296,30,90.0,10.1,68.89
124,25,2 años (730),501,120,"[1, 2, 3, 4]",336,306,28,91.1,9.2,78.88
125,25,2 años (730),501,140,"[1, 2, 3]",280,240,21,85.7,8.8,63.83
126,25,2 años (730),501,140,"[1, 2, 3, 4]",298,261,26,87.6,10.0,85.46
127,25,2 años (730),501,160,"[1, 2, 3]",250,201,23,80.4,11.4,66.91
128,25,2 años (730),501,160,"[1, 2, 3, 4]",260,212,21,81.5,9.9,75.19
129,25,2 años (730),501,180,"[1, 2, 3]",246,180,12,73.2,6.7,55.72
130,25,2 años (730),501,180,"[1, 2, 3, 4]",252,185,15,73.4,8.1,62.19
131,25,2 años (730),501,200,"[1, 2, 3]",223,152,14,68.2,9.2,50.82
132,25,2 años (730),501,200,"[1, 2, 3, 4]",223,152,19,68.2,12.5,55.85
133,25,2 años (730),501,220,"[1, 2, 3]",195,116,11,59.5,9.5,41.04
134,25,2 años (730),501,220,"[1, 2, 3, 4]",216,134,17,62.0,12.7,51.28
135,25,2 años (730),501,240,"[1, 2, 3]",192,106,8,55.2,7.5,43.97
136,25,2 años (730),501,240,"[1, 2, 3, 4]",214,117,12,54.7,10.3,49.25
137,25,2 años (730),501,260,"[1, 2, 3]",158,85,11,53.8,12.9,36.0
138,25,2 años (730),501,260,"[1, 2, 3, 4]",184,107,16,58.2,15.0,45.38
139,25,2 años (730),501,280,"[1, 2, 3]",148,79,8,53.4,10.1,33.86
140,25,2 años (730),501,280,"[1, 2, 3, 4]",168,97,10,57.7,10.3,43.43
141,25,2 años (730),501,300,"[1, 2, 3]",160,69,10,43.1,14.5,36.52
142,25,2 años (730),501,300,"[1, 2, 3, 4]",153,74,11,48.4,14.9,40.03
143,25,2 años (730),501,340,"[1, 2, 3]",159,60,5,37.7,8.3,37.23
144,25,2 años (730),501,340,"[1, 2, 3, 4]",162,58,6,35.8,10.3,39.43
145,25,2 años (730),501,380,"[1, 2, 3, 4]",139,52,10,37.4,19.2,36.86
146,25,2 años (730),501,400,"[1, 2, 3, 4]",137,42,9,30.7,21.4,33.3
147,25,2 años (730),501,450,"[1, 2, 3, 4]",98,26,4,26.5,15.4,25.09
148,25,3 años (1095),753,40,"[1, 2, 3]",1421,1418,46,99.8,3.2,266.12
149,25,3 años (1095),753,80,"[1, 2, 3]",727,720,52,99.0,7.2,147.2
150,25,3 años (1095),753,90,"[1, 2, 3]",636,624,49,98.1,7.9,129.53
151,25,3 años (1095),753,100,"[1, 2, 3]",577,561,43,97.2,7.7,126.91
152,25,3 años (1095),753,100,"[1, 2, 3, 4]",608,591,37,97.2,6.3,144.25
153,25,3 años (1095),753,100,"[1, 2, 3, 4, 5]",621,600,49,96.6,8.2,162.13
154,25,3 años (1095),753,120,"[1, 2, 3]",508,470,44,92.5,9.4,109.42
155,25,3 años (1095),753,120,"[1, 2, 3, 4]",511,481,49,94.1,10.2,121.72
156,25,3 años (1095),753,120,"[1, 2, 3, 4, 5]",540,503,52,93.1,10.3,142.47
157,25,3 años (1095),753,140,"[1, 2, 3]",444,393,38,88.5,9.7,99.71
158,25,3 años (1095),753,140,"[1, 2, 3, 4]",459,401,40,87.4,10.0,114.94
159,25,3 años (1095),753,140,"[1, 2, 3, 4, 5]",467,416,42,89.1,10.1,129.59
160,25,3 años (1095),753,160,"[1, 2, 3]",405,329,27,81.2,8.2,91.2
161,25,3 años (1095),753,160,"[1, 2, 3, 4]",406,333,40,82.0,12.0,102.06
162,25,3 años (1095),753,160,"[1, 2, 3, 4, 5]",435,359,39,82.5,10.9,119.93
163,25,3 años (1095),753,180,"[1, 2, 3]",384,281,33,73.2,11.7,86.33
164,25,3 años (1095),753,180,"[1, 2, 3, 4]",401,294,32,73.3,10.9,100.44
165,25,3 años (1095),753,180,"[1, 2, 3, 4, 5]",410,304,39,74.1,12.8,113.98
