indice,tipo_patron,numero_encontrados,distancia_promedio,distancia_promedio_findCommon,num_aceptados_findCommon_patron,tamaño_medio,porcentaje_aceptacion_tendency
34,head_and_shoulders,2,21.07,16.64,38,46.5,28.6
34,inv_head_and_shoulders,1,11.36,11.19,39,34.0,14.3
34,ascending_triangle,1,9.6,16.18,38,40.0,14.3
34,descending_triangle,1,8.31,17.4,38,40.0,14.3
35,double_top,3,10.7,9.84,15,46.67,50.0
35,double_bottom,1,10.24,9.98,13,48.0,16.7
35,head_and_shoulders,1,22.41,18.12,15,57.0,16.7
35,inv_head_and_shoulders,0,0.0,11.95,11,0.0,0.0
35,ascending_triangle,1,8.61,24.4,14,80.0,16.7
35,descending_triangle,0,0.0,15.83,12,0.0,0.0
36,double_top,3,11.18,10.71,14,38.0,30.0
36,double_bottom,3,12.43,10.68,15,42.0,30.0
36,head_and_shoulders,0,0.0,19.1,14,0.0,0.0
36,inv_head_and_shoulders,2,16.88,11.94,14,39.0,20.0
36,ascending_triangle,1,8.61,23.36,14,80.0,10.0
36,descending_triangle,1,8.22,19.46,16,52.0,10.0
37,double_top,4,13.04,12.52,15,50.75,44.4
37,double_bottom,2,13.88,12.11,14,48.0,22.2
37,head_and_shoulders,1,23.01,19.4,14,61.0,11.1
37,inv_head_and_shoulders,0,0.0,15.15,12,0.0,0.0
37,ascending_triangle,2,14.09,26.5,14,90.0,22.2
37,descending_triangle,0,0.0,20.43,11,0.0,0.0
38,double_top,2,12.65,12.04,15,59.0,20.0
38,double_bottom,2,15.68,11.48,10,35.0,20.0
38,head_and_shoulders,1,23.01,19.4,14,61.0,10.0
38,inv_head_and_shoulders,1,16.79,14.73,11,32.0,10.0
38,ascending_triangle,4,16.61,21.39,15,75.0,40.0
38,descending_triangle,0,0.0,19.75,10,0.0,0.0
39,double_top,4,14.37,13.12,16,39.75,44.4
39,double_bottom,0,0.0,11.89,12,0.0,0.0
39,head_and_shoulders,1,24.98,19.22,13,54.0,11.1
39,inv_head_and_shoulders,0,0.0,15.17,12,0.0,0.0
39,ascending_triangle,2,14.25,18.76,12,66.0,22.2
39,descending_triangle,2,18.8,14.93,8,66.0,22.2
40,double_top,2,15.22,14.12,10,48.5,33.3
40,double_bottom,1,16.71,13.56,10,48.0,16.7
40,head_and_shoulders,0,0.0,22.47,10,0.0,0.0
40,inv_head_and_shoulders,0,0.0,14.97,10,0.0,0.0
40,ascending_triangle,2,22.91,27.0,10,74.5,33.3
40,descending_triangle,1,11.92,17.55,5,120.0,16.7
41,double_top,2,16.94,16.53,10,59.0,28.6
41,double_bottom,2,16.84,16.7,10,47.0,28.6
41,head_and_shoulders,1,31.18,27.22,10,60.0,14.3
41,inv_head_and_shoulders,1,20.37,15.12,10,80.0,14.3
41,ascending_triangle,1,11.0,19.09,10,57.0,14.3
41,descending_triangle,0,0.0,26.17,4,0.0,0.0
42,double_top,0,0.0,6.92,201,0.0,0.0
42,double_bottom,0,0.0,4.87,209,0.0,0.0
42,head_and_shoulders,0,0.0,20.55,189,0.0,0.0
42,inv_head_and_shoulders,0,0.0,9.86,204,0.0,0.0
42,ascending_triangle,4,9.81,15.43,188,20.0,66.7
42,descending_triangle,2,9.54,15.12,201,20.0,33.3
43,double_top,4,5.36,7.27,101,24.0,26.7
43,double_bottom,2,3.75,5.69,107,29.0,13.3
43,head_and_shoulders,0,0.0,18.46,97,0.0,0.0
43,inv_head_and_shoulders,2,6.33,9.8,101,34.0,13.3
43,ascending_triangle,3,9.18,16.23,96,38.0,20.0
43,descending_triangle,4,9.14,15.33,104,33.5,26.7
44,double_top,4,9.38,8.5,52,25.75,25.0
44,double_bottom,3,9.74,7.31,47,28.67,18.8
44,head_and_shoulders,3,17.63,14.9,47,43.67,18.8
44,inv_head_and_shoulders,1,7.61,11.39,45,42.0,6.2
44,ascending_triangle,1,9.6,17.05,51,40.0,6.2
44,descending_triangle,4,13.99,17.42,47,36.0,25.0
45,double_top,3,8.54,8.54,59,23.0,25.0
45,double_bottom,1,6.98,7.1,50,29.0,8.3
45,head_and_shoulders,3,17.63,15.58,52,43.67,25.0
45,inv_head_and_shoulders,1,11.36,10.89,51,34.0,8.3
45,ascending_triangle,1,9.6,17.83,51,40.0,8.3
45,descending_triangle,3,13.57,17.13,46,35.33,25.0
46,double_top,6,10.81,10.4,22,42.17,46.2
46,double_bottom,2,11.02,10.37,22,35.0,15.4
46,head_and_shoulders,2,16.46,17.55,22,67.5,15.4
46,inv_head_and_shoulders,0,0.0,13.55,21,0.0,0.0
46,ascending_triangle,3,10.3,19.89,20,88.0,23.1
46,descending_triangle,0,0.0,21.01,18,0.0,0.0
47,double_top,6,10.68,11.25,21,38.33,37.5
47,double_bottom,4,12.27,10.58,21,37.0,25.0
47,head_and_shoulders,1,10.53,17.37,21,40.0,6.2
47,inv_head_and_shoulders,2,16.88,13.52,22,39.0,12.5
47,ascending_triangle,1,8.61,23.29,20,80.0,6.2
47,descending_triangle,2,14.87,19.67,22,52.0,12.5
48,double_top,5,12.36,12.47,23,50.6,38.5
48,double_bottom,2,13.88,12.05,22,48.0,15.4
48,head_and_shoulders,2,15.73,15.44,22,64.5,15.4
48,inv_head_and_shoulders,0,0.0,15.53,20,0.0,0.0
48,ascending_triangle,4,14.23,21.36,20,90.0,30.8
48,descending_triangle,0,0.0,22.18,18,0.0,0.0
49,double_top,5,11.64,12.41,22,46.6,33.3
49,double_bottom,2,15.68,11.57,23,35.0,13.3
49,head_and_shoulders,2,15.73,15.91,20,64.5,13.3
49,inv_head_and_shoulders,1,16.79,13.09,22,32.0,6.7
49,ascending_triangle,5,17.47,20.92,21,78.0,33.3
49,descending_triangle,0,0.0,22.11,17,0.0,0.0
50,double_top,4,14.37,13.41,18,39.75,30.8
50,double_bottom,2,13.98,11.65,18,32.0,15.4
50,head_and_shoulders,1,24.98,19.91,19,54.0,7.7
50,inv_head_and_shoulders,1,18.94,14.18,19,72.0,7.7
50,ascending_triangle,3,13.95,18.18,18,66.0,23.1
50,descending_triangle,2,18.8,21.34,14,66.0,15.4
51,double_top,6,13.61,13.43,22,37.17,37.5
51,double_bottom,4,13.06,11.68,19,33.5,25.0
51,head_and_shoulders,1,9.09,17.82,22,75.0,6.2
51,inv_head_and_shoulders,1,17.11,13.88,20,37.0,6.2
51,ascending_triangle,1,9.07,17.83,18,50.0,6.2
51,descending_triangle,3,31.84,21.45,13,55.33,18.8
52,double_top,2,15.22,14.14,14,48.5,22.2
52,double_bottom,1,16.71,13.56,13,48.0,11.1
52,head_and_shoulders,2,20.42,20.08,16,57.5,22.2
52,inv_head_and_shoulders,1,20.45,14.97,12,72.0,11.1
52,ascending_triangle,2,22.91,25.72,14,80.0,22.2
52,descending_triangle,1,11.92,19.89,8,120.0,11.1
53,double_top,3,13.6,14.17,16,42.67,23.1
53,double_bottom,3,16.59,13.72,17,39.33,23.1
53,head_and_shoulders,2,22.88,21.31,16,52.5,15.4
53,inv_head_and_shoulders,2,20.22,14.95,15,52.0,15.4
53,ascending_triangle,2,22.91,25.72,14,80.0,15.4
53,descending_triangle,1,11.92,19.89,8,120.0,7.7
54,double_top,2,16.94,16.53,10,59.0,28.6
54,double_bottom,2,16.84,16.7,10,47.0,28.6
54,head_and_shoulders,1,31.18,27.22,10,60.0,14.3
54,inv_head_and_shoulders,1,20.37,15.12,10,91.0,14.3
54,ascending_triangle,1,11.0,19.09,10,92.0,14.3
54,descending_triangle,0,0.0,25.23,5,0.0,0.0
55,double_top,4,15.82,16.63,14,40.75,44.4
55,double_bottom,2,17.11,16.7,10,47.0,22.2
55,head_and_shoulders,1,31.18,26.75,12,60.0,11.1
55,inv_head_and_shoulders,1,21.49,15.12,10,41.0,11.1
55,ascending_triangle,0,0.0,18.91,11,0.0,0.0
55,descending_triangle,1,30.98,25.23,5,70.0,11.1
56,double_top,3,17.12,18.04,10,58.67,60.0
56,double_bottom,0,0.0,18.97,10,0.0,0.0
56,head_and_shoulders,1,26.8,25.27,10,52.0,20.0
56,inv_head_and_shoulders,0,0.0,17.48,10,0.0,0.0
56,ascending_triangle,1,11.66,22.2,10,104.0,20.0
56,descending_triangle,0,0.0,29.83,3,0.0,0.0
57,double_top,4,17.01,18.04,10,37.25,50.0
57,double_bottom,1,17.99,18.97,10,48.0,12.5
57,head_and_shoulders,1,26.8,25.27,10,52.0,12.5
57,inv_head_and_shoulders,0,0.0,17.48,10,0.0,0.0
57,ascending_triangle,2,20.38,22.2,10,80.0,25.0
57,descending_triangle,0,0.0,29.83,3,0.0,0.0
58,double_top,1,18.58,19.74,10,31.0,20.0
58,double_bottom,0,0.0,20.84,10,0.0,0.0
58,head_and_shoulders,1,26.37,24.52,10,68.0,20.0
58,inv_head_and_shoulders,1,22.97,19.36,10,101.0,20.0
58,ascending_triangle,1,11.89,24.74,10,64.0,20.0
58,descending_triangle,1,21.85,21.85,1,120.0,20.0
59,double_top,3,19.58,19.74,10,56.0,42.9
59,double_bottom,0,0.0,20.84,10,0.0,0.0
59,head_and_shoulders,1,26.37,24.52,10,68.0,14.3
59,inv_head_and_shoulders,0,0.0,19.36,10,0.0,0.0
59,ascending_triangle,3,15.35,24.74,10,81.33,42.9
59,descending_triangle,0,0.0,21.85,1,0.0,0.0
60,double_top,4,5.36,7.33,137,24.0,20.0
60,double_bottom,2,3.75,5.76,142,29.0,10.0
60,head_and_shoulders,0,0.0,19.15,133,0.0,0.0
60,inv_head_and_shoulders,2,6.33,9.91,135,34.0,10.0
60,ascending_triangle,6,9.15,15.65,132,34.0,30.0
60,descending_triangle,6,12.02,16.16,139,33.33,30.0
61,double_top,4,9.38,8.61,73,27.25,22.2
61,double_bottom,3,9.74,7.41,71,28.67,16.7
61,head_and_shoulders,3,17.63,17.34,67,43.67,16.7
61,inv_head_and_shoulders,2,6.98,11.61,65,47.5,11.1
61,ascending_triangle,2,9.37,15.9,65,40.0,11.1
61,descending_triangle,4,13.99,18.11,69,40.0,22.2
62,double_top,3,8.54,8.64,83,23.0,17.6
62,double_bottom,1,6.98,6.87,72,29.0,5.9
62,head_and_shoulders,3,17.63,17.86,73,43.67,17.6
62,inv_head_and_shoulders,2,8.5,10.42,76,38.0,11.8
62,ascending_triangle,4,13.79,17.39,70,37.0,23.5
62,descending_triangle,4,12.27,17.44,72,36.5,23.5
63,double_top,8,10.87,11.04,35,39.38,42.1
63,double_bottom,4,11.19,10.21,32,38.25,21.1
63,head_and_shoulders,2,16.46,18.99,34,67.5,10.5
63,inv_head_and_shoulders,1,7.52,13.95,31,73.0,5.3
63,ascending_triangle,4,10.5,19.27,33,91.75,21.1
63,descending_triangle,0,0.0,20.89,27,0.0,0.0
64,double_top,8,10.62,11.26,32,35.5,42.1
64,double_bottom,4,12.27,10.65,32,37.0,21.1
64,head_and_shoulders,1,10.53,19.22,32,40.0,5.3
64,inv_head_and_shoulders,2,16.88,14.2,32,39.0,10.5
64,ascending_triangle,2,14.79,20.95,34,66.0,10.5
64,descending_triangle,2,14.87,19.88,30,52.0,10.5
65,double_top,5,12.36,12.27,27,56.0,38.5
65,double_bottom,2,13.88,12.04,24,48.0,15.4
65,head_and_shoulders,2,15.73,15.44,24,64.5,15.4
65,inv_head_and_shoulders,0,0.0,14.26,23,0.0,0.0
65,ascending_triangle,4,14.23,20.63,29,90.0,30.8
65,descending_triangle,0,0.0,22.08,22,0.0,0.0
66,double_top,6,11.67,12.18,30,45.67,35.3
66,double_bottom,2,15.68,11.48,29,35.0,11.8
66,head_and_shoulders,2,15.73,15.6,26,64.5,11.8
66,inv_head_and_shoulders,1,16.79,14.28,29,32.0,5.9
66,ascending_triangle,6,17.66,22.16,32,73.67,35.3
66,descending_triangle,0,0.0,21.21,24,0.0,0.0
67,double_top,5,14.01,13.01,27,43.6,29.4
67,double_bottom,2,13.98,12.11,22,32.0,11.8
67,head_and_shoulders,2,18.25,17.73,25,56.5,11.8
67,inv_head_and_shoulders,1,18.94,15.4,23,72.0,5.9
67,ascending_triangle,5,13.65,17.93,26,62.6,29.4
67,descending_triangle,2,18.8,22.62,20,66.0,11.8
68,double_top,6,13.61,12.54,28,37.17,31.6
68,double_bottom,4,13.06,12.17,22,33.5,21.1
68,head_and_shoulders,1,9.09,17.33,25,75.0,5.3
68,inv_head_and_shoulders,1,17.11,15.4,26,37.0,5.3
68,ascending_triangle,4,13.45,17.97,29,42.0,21.1
