indice,num_patrones_cargar,rango_fecha,numero_puntos,tamano_ventana,divisiones,numero_ventanas_exploradas,total_aceptados_findCommon,numero_encontrados_total,porcentaje_aceptacion_findCommon,porcentaje_aceptacion_tendency,tiempo
1309,25,10 años y 2 días (3652),2516,300,"[1, 2, 3, 4, 5]",1404,592,65,42.2,11.0,393.7
1310,25,10 años y 2 días (3652),2516,300,"[1, 2, 3, 4, 5, 6]",1442,611,69,42.4,11.3,436.76
1311,25,10 años y 2 días (3652),2516,340,"[1, 2, 3, 4]",1400,485,52,34.6,10.7,368.56
1312,25,10 años y 2 días (3652),2516,340,"[1, 2, 3, 4, 5]",1448,502,64,34.7,12.7,399.38
1313,25,10 años y 2 días (3652),2516,340,"[1, 2, 3, 4, 5, 6]",1517,532,89,35.1,16.7,452.79
1314,25,10 años y 2 días (3652),2516,380,"[1, 2, 3, 4]",1678,404,50,24.1,12.4,420.53
1315,25,10 años y 2 días (3652),2516,380,"[1, 2, 3, 4, 5]",1737,421,54,24.2,12.8,451.52
1316,25,10 años y 2 días (3652),2516,380,"[1, 2, 3, 4, 5, 6]",1706,418,52,24.5,12.4,473.42
1317,25,10 años y 2 días (3652),2516,400,"[1, 2, 3, 4]",1746,371,43,21.2,11.6,431.17
1318,25,10 años y 2 días (3652),2516,400,"[1, 2, 3, 4, 5]",1793,378,51,21.1,13.5,466.02
1319,25,10 años y 2 días (3652),2516,400,"[1, 2, 3, 4, 5, 6]",1887,403,56,21.4,13.9,518.13
1320,25,10 años y 2 días (3652),2516,450,"[1, 2, 3, 4]",2119,287,31,13.5,10.8,488.72
1321,25,10 años y 2 días (3652),2516,450,"[1, 2, 3, 4, 5]",2157,297,24,13.8,8.1,520.34
1322,25,10 años y 2 días (3652),2516,450,"[1, 2, 3, 4, 5, 6]",2170,306,35,14.1,11.4,548.75
1323,25,10 años y 2 días (3652),2516,500,"[1, 2, 3, 4]",2481,211,23,8.5,10.9,570.46
1324,25,10 años y 2 días (3652),2516,500,"[1, 2, 3, 4, 5]",2536,216,28,8.5,13.0,600.49
1325,25,10 años y 2 días (3652),2516,500,"[1, 2, 3, 4, 5, 6]",2537,218,30,8.6,13.8,621.79
1326,25,15 años y 3 días (5478),3774,300,"[1, 2, 3, 4]",1988,858,97,43.2,11.3,537.73
1327,25,15 años y 3 días (5478),3774,300,"[1, 2, 3, 4, 5]",2111,911,105,43.2,11.5,613.92
1328,25,15 años y 3 días (5478),3774,300,"[1, 2, 3, 4, 5, 6]",2107,961,120,45.6,12.5,674.85
1329,25,15 años y 3 días (5478),3774,340,"[1, 2, 3, 4]",2151,748,93,34.8,12.4,585.3
1330,25,15 años y 3 días (5478),3774,340,"[1, 2, 3, 4, 5]",2192,783,116,35.7,14.8,641.32
1331,25,15 años y 3 días (5478),3774,340,"[1, 2, 3, 4, 5, 6]",2270,815,106,35.9,13.0,698.58
1332,25,15 años y 3 días (5478),3774,380,"[1, 2, 3, 4]",2553,626,73,24.5,11.7,656.37
1333,25,15 años y 3 días (5478),3774,380,"[1, 2, 3, 4, 5]",2645,648,85,24.5,13.1,729.65
1334,25,15 años y 3 días (5478),3774,380,"[1, 2, 3, 4, 5, 6]",2625,654,89,24.9,13.6,771.06
1335,25,15 años y 3 días (5478),3774,400,"[1, 2, 3, 4]",2741,570,69,20.8,12.1,713.75
1336,25,15 años y 3 días (5478),3774,400,"[1, 2, 3, 4, 5]",2803,589,72,21.0,12.2,772.72
1337,25,15 años y 3 días (5478),3774,400,"[1, 2, 3, 4, 5, 6]",2861,625,82,21.8,13.1,840.14
1338,25,15 años y 3 días (5478),3774,450,"[1, 2, 3, 4]",3293,441,53,13.4,12.0,814.43
1339,25,15 años y 3 días (5478),3774,450,"[1, 2, 3, 4, 5]",3372,446,47,13.2,10.5,864.96
1340,25,15 años y 3 días (5478),3774,450,"[1, 2, 3, 4, 5, 6]",3351,460,50,13.7,10.9,908.68
1341,25,15 años y 3 días (5478),3774,500,"[1, 2, 3, 4]",4053,321,37,7.9,11.5,998.81
1342,25,15 años y 3 días (5478),3774,500,"[1, 2, 3, 4, 5]",4063,334,45,8.2,13.5,1034.86
1343,25,15 años y 3 días (5478),3774,500,"[1, 2, 3, 4, 5, 6]",4161,346,40,8.3,11.6,1095.93
